herb_id,engName,chiName,effect,taste,quality,shape
0001,BB,馬勃,局部止血藥，清肺，利咽，解熱等。,辛，平。,以個大、皮薄、飽滿、鬆泡有彈性者為佳。,紫色馬勃：呈陀螺形，或已壓扁呈扁圓形，直徑5~12cm，不孕基部發達；包被薄，2層，紫褐色，粗皺，有圓形凹陷，外翻，上部常裂成小塊或已部分脫落；孢體紫色。
0002,Ginseng Root,人參,大補元氣，複脈固脫，補脾益肺，生津止渴，安神益智。用於體虛欲脫，肢冷脈微，脾虛食少，肺虛喘咳，津傷口渴，內熱消渴，久病虛贏，驚悸失眠，陽痿宮冷；心力衰竭，心原性休克。,平、味甘、微苦，微溫。,以條粗、質硬、皮細、無破痕者為佳。,生曬參片：為圓形或類圓形薄片，表面灰白色，顯菊花紋，粉性，體輕，質脆。有特異香氣。
0003,Tall Gastrodiae,天麻,息風止痙，平肝潛陽，祛風通絡。,氣微，性平，味甘，微辛。,藥材以質地堅實，體重，有鸚哥嘴，無空心者為佳。飲片以體實澤亮半透明者為佳。,塊莖呈橢圓形或長條形，略扁，皺縮而稍彎曲。長3~15cm，寬1.5~6cm，厚0.5~2cm。表面黃白色至淡黃棕色，略透明，多不規則縱皺紋，有縱皺紋及由潛伏芽排列成的多輪橫環紋，有時可見棕褐色菌索，具點狀痕點或膜質鱗葉有時可見棕黑色菌索。冬至以後莖枯時採挖者稱“冬麻”，頂端為紅棕色至深棕色頂芽；立夏以前植株出芽時採挖者稱“春麻”，頂端有殘留莖基。末端均有自母體麻脫落後的圓臍狀疤痕。質堅實，不易折斷，斷面較平坦，角質樣，黃白色或淡棕色。
0004,Coastal Glehnia Root,北沙參,養陰清肺，益胃生津。用於肺熱燥咳、勞嗽痰血、熱病津傷口渴。,甘，微苦，微寒。,以枝條細長、圓柱形、均勻、質堅、外皮色白者為佳。,長圓柱形，偶有分枝。表面淡黃白色，偶有外皮殘存，全體有細縱皺紋及縱溝，並有棕黃色點狀細根痕。頂端常留有棕黃色根莖殘基，上端稍細，中部略粗，下部漸細。質脆，易折斷，斷面皮部淺黃白色，木部黃色。氣特異，味微甘。
0005,Common Turmeric Rhizome,薑黃,破血行氣，通經止痛。用於胸脅剌痛，閉經，症瘕，風濕肩臂疼痛，跌撲腫痛。,辛，苦，溫。,以堅實、斷面金黃色、氣香濃者為佳。,呈不規則卵圓形、圓柱形或紡錘形，常彎曲，有的具短叉狀分枝，長2~5cm，直徑1~3cm。表面深黃色，粗糙，有皺縮紋理和明顯環節，並有圓形分枝痕及鬚根痕。質堅實，不易折斷，斷面棕黃色至金黃色，角質樣，有蠟樣光澤，內皮層環紋明顯，維管束呈點狀散在。氣香特異，味苦、辛。
0006,Tangute Rhubarb,大黃,攻積滯；清濕熱；瀉火；涼血；祛瘀；解毒。主治實熱便秘；熱結胸痞；濕熱瀉痢；黃疸；淋病；水腫腹滿；小便不利；目赤；咽喉腫痛；口舌生瘡；胃熱嘔吐；吐血；咯血；衄血；便血；尿血；蓄血；經閉；產後瘀滯腹痛；症瘕積聚；跌打損傷；熱毒癰瘍；丹毒；燙傷。,味苦，性寒。,以堅實、氣清香味苦而微澀者為佳。,本品呈類圓柱形、圓錐形、卵圓形或不規則塊狀，長3~17cm，直徑3~10cm。除盡外皮者表面黃棕色至紅棕色，有的可見類白色網狀紋理及星點 (異型維管束) 散在，殘留的外皮棕褐色，多具繩孔及粗皺紋。質堅實，有的中心稍鬆軟，斷面淡紅棕色或黃棕色，顯顆粒性；根莖髓部寬廣，有星點環列或散在；根木部發達，具放射狀紋理，成層環明顯，無星點。氣清香，味苦而微澀，嚼之粘牙，有砂粒感。
0007,Common Yan Rhizome,山藥,補脾養胃，生津益肺，補腎澀精。用於脾虛食少，久瀉不止，肺虛喘咳，腎虛遺精，帶下，尿頻，虛熱消渴。,甘、平。,以身長、條粗、質堅實、粉性足、色潔白者為佳。,略呈圓柱形，彎曲而稍扁，長15~30cm，直徑1. 5~6cm。表面黃白色或淡黃色，有縱溝、縱皺紋及鬚根痕，偶有淺棕色外皮殘留。體重，質堅實，不易折斷，斷面白色，粉性。無臭，味淡、微酸，嚼之發粘。光山藥呈圓柱形，兩端平齊，長9~18cm，直徑1. 5~3cm。表面光滑，白色或黃白色
0008,Tonkin Sophora Root,山豆根,清熱解毒，消腫利咽。用於火毒蘊結，咽喉腫痛，齒齦腫痛。,苦，寒，有毒。,以根條粗壯、外色綜褐、質堅、味苦者為佳。,乾燥根呈不規則的結節狀，頂端常殘留莖基或莖痕，其下著生數條根。根為長圓柱形，有時分枝，略彎曲，長10~20~35cm，直徑0.3~1cm；表面棕色至黑棕色，有縱皺紋及橫長略突起的皮孔。質硬難折斷，斷面略平坦、淺棕色，並可見環狀形成層，中心無髓。氣微弱，味極苦。
0009,Appendiculate Cremastra Pseudobulb,山慈菇,清熱解毒，化痰散結。治咽喉腫痛，瘰鬁，癰疽，瘡腫，產後瘀滯。,甘、微辛，涼；有小毒。,以色白、個大均勻、體質飽滿者為佳。,乾燥的鱗莖，呈不規則扁球形或圓錐形，表面黃棕色至棕褐色。高約0.7~1.5cm，直徑約0.5~1cm。底部圓而凹陷，有根痕，上端急尖，一側有縱溝自基部伸向頂端。表面黃白色，光滑。質硬，略呈角質，橫斷面黃白色，粉質。氣微，味淡，有黏性。
0010,Sanchi,三七,止血；散血；定痛。主治跌撲瘀腫，胸痹絞痛，症瘕；血瘀經閉；痛經；產後瘀陰腹痛；瘡癰腫痛。,甘、微苦，溫。,以個頭圓大飽滿、身乾、個大、體重堅實、斷面灰黑色、無裂隙者為佳。,主根呈類圓錐形或圓柱形，長1~6cm，直徑1~4cm。表面灰黃色或灰褐色，有斷續的縱皺紋及支根痕。頂端有莖痕，周圍有瘤狀突起。體重，質堅實，斷面灰綠色、黃綠色或灰白色，皮部與木質部較易分離，木部微呈放射狀排列。氣微，味苦回甜。
